image	caption	Label
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00088.JPG	a large concrete driveway with a small patch of dirt	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00030.JPG	aerial view of a dry landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00054.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00108.JPG	a snake that is laying on the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00070.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00017.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00072.JPG	a crack in the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00031.JPG	a large snake is laying on the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00113.JPG	a large snake on the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00110.JPG	a large open field with a river running through it	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00025.JPG	aerial view of a beautiful landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00033.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00048.JPG	a large field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00099.JPG	a crack in the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00019.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00073.JPG	aerial view of a dry, grassy plain with a river running through it	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00001.JPG	aerial view of a beautiful landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00045.JPG	aerial view of a pine forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00028.JPG	a forest with lots of trees in the middle	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00009.JPG	a large open field with mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00023.JPG	aerial view of a forest fire	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00077.JPG	a large open field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00006.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00040.JPG	a large area of pine trees in the middle of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00104.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00087.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00029.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00042.JPG	a concrete floor with a lot of dirt	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00052.JPG	a large lizard on the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00026.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00081.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00013.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00114.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00101.JPG	a large open field with trees and a road	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00071.JPG	aerial view of a dry river bed in the desert	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00034.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00085.JPG	a large open field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00049.JPG	aerial view of a dry landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00063.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00044.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00074.JPG	aerial view of a beautiful landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00065.JPG	a large open field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00103.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00058.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00003.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00062.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00059.JPG	a large open field with trees and a road	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00011.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00111.JPG	aerial view of a dry landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00012.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00039.JPG	a large open plain with a river running through it	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00060.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00050.JPG	a large open field with trees and a road	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00014.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00020.JPG	a large open field with a small river in the middle	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00090.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00078.JPG	aerial view of a beautiful landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00067.JPG	aerial view of a dry landscape	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00018.JPG	aerial view of a field with a road and forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00004.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00102.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00093.JPG	aerial view of a beautiful landscape	No Fire
